0,3,6
29,50,22
29,51,28
29,52,30
29,53,33
29,54,31
29,55,28
29,56,23
29,57,21
29,58,23
29,59,22
29,60,21
30,49,19
30,50,23
30,51,31
30,52,32
30,53,35
30,54,35
30,55,31
30,56,24
30,57,20
30,58,22
30,59,23
30,60,22
31,49,18
31,50,21
31,51,29
31,52,29
31,53,31
31,54,31
31,55,29
31,56,26
31,58,21
31,59,22
31,60,22
32,50,18
32,51,23
32,52,25
32,53,29
32,54,29
32,55,30
32,56,27
32,57,22
32,58,20
32,59,20
32,60,21
33,51,22
33,52,24
33,53,28
33,54,25
33,55,27
33,56,27
33,57,25
33,58,23
33,60,21
34,51,22
34,52,23
34,53,29
34,54,26
34,55,28
34,56,28
34,57,28
34,58,27
34,59,23
34,60,23
35,51,22
35,52,24
35,53,29
35,54,27
35,55,25
35,56,25
35,57,28
35,58,28
35,59,27
35,60,24
36,51,20
36,52,24
36,53,28
36,54,26
36,55,22
36,56,21
36,57,26
36,58,28
36,59,31
36,60,26
37,52,23
37,53,26
37,54,26
37,55,22
37,57,24
37,58,27
37,59,30
37,60,25
38,52,21
38,53,24
38,54,26
38,55,26
38,56,23
38,57,27
38,58,29
38,59,29
38,60,22
39,53,20
39,54,24
39,55,28
39,56,33
39,57,36
39,58,33
39,59,26
39,60,20
40,54,22
40,55,27
40,56,34
40,57,37
40,58,32
40,59,25
40,60,19
41,55,24
41,56,31
41,57,32
41,58,28
41,59,23
41,60,23
42,54,21
42,55,23
42,56,22
42,57,21
42,58,20
42,59,23
42,60,24
43,53,21
43,54,24
43,55,24
43,56,22
43,57,19
43,58,19
43,59,22
43,60,24
44,53,21
44,54,23
44,55,24
44,56,22
44,57,20
44,58,20
44,59,21
44,60,20
45,53,20
45,54,21
45,55,22
45,56,19
45,57,19
45,58,19
45,59,19
45,60,18
46,55,18
46,56,18
46,57,19
46,58,18
46,59,18
